| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                                     | remediation                                                                                | metadata                                                                                                                                | cache_key                                                                                |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_proposta_logs_created_at\` on table \`public.proposta_logs\` has not been used                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"proposta_logs","type":"table","schema":"public"}                                                                               | unused_index_public_proposta_logs_idx_proposta_logs_created_at                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_profiles_loja_id\` on table \`public.profiles\` has not been used                                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"profiles","type":"table","schema":"public"}                                                                                    | unused_index_public_profiles_idx_profiles_loja_id                                        |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_profiles_role\` on table \`public.profiles\` has not been used                                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"profiles","type":"table","schema":"public"}                                                                                    | unused_index_public_profiles_idx_profiles_role                                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_lojas_parceiro_id\` on table \`public.lojas\` has not been used                                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"lojas","type":"table","schema":"public"}                                                                                       | unused_index_public_lojas_idx_lojas_parceiro_id                                          |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_produto_tabela_comercial_produto\` on table \`public.produto_tabela_comercial\` has not been used                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"produto_tabela_comercial","type":"table","schema":"public"}                                                                    | unused_index_public_produto_tabela_comercial_idx_produto_tabela_comercial_produto        |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_produto_tabela_comercial_tabela\` on table \`public.produto_tabela_comercial\` has not been used                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"produto_tabela_comercial","type":"table","schema":"public"}                                                                    | unused_index_public_produto_tabela_comercial_idx_produto_tabela_comercial_tabela         |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_user_sessions_expires_at\` on table \`public.user_sessions\` has not been used                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"user_sessions","type":"table","schema":"public"}                                                                               | unused_index_public_user_sessions_idx_user_sessions_expires_at                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_user_sessions_is_active\` on table \`public.user_sessions\` has not been used                                                                                  | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"user_sessions","type":"table","schema":"public"}                                                                               | unused_index_public_user_sessions_idx_user_sessions_is_active                            |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_historico_observacoes_created\` on table \`public.historico_observacoes_cobranca\` has not been used                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"historico_observacoes_cobranca","type":"table","schema":"public"}                                                              | unused_index_public_historico_observacoes_cobranca_idx_historico_observacoes_created     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_webhook_logs_source\` on table \`public.webhook_logs\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"webhook_logs","type":"table","schema":"public"}                                                                                | unused_index_public_webhook_logs_idx_webhook_logs_source                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_webhook_logs_created_at\` on table \`public.webhook_logs\` has not been used                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"webhook_logs","type":"table","schema":"public"}                                                                                | unused_index_public_webhook_logs_idx_webhook_logs_created_at                             |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_system_alerts_type\` on table \`public.system_alerts\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"system_alerts","type":"table","schema":"public"}                                                                               | unused_index_public_system_alerts_idx_system_alerts_type                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_system_alerts_severity\` on table \`public.system_alerts\` has not been used                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"system_alerts","type":"table","schema":"public"}                                                                               | unused_index_public_system_alerts_idx_system_alerts_severity                             |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_system_alerts_created_at\` on table \`public.system_alerts\` has not been used                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"system_alerts","type":"table","schema":"public"}                                                                               | unused_index_public_system_alerts_idx_system_alerts_created_at                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_status_created\` on table \`public.propostas\` has not been used                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_status_created                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_loja_status\` on table \`public.propostas\` has not been used                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_loja_status                                  |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_analista_status\` on table \`public.propostas\` has not been used                                                                                    | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_analista_status                              |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_cliente_cpf\` on table \`public.propostas\` has not been used                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_cliente_cpf                                  |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_cliente_nome\` on table \`public.propostas\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_cliente_nome                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_formalizacao\` on table \`public.propostas\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_formalizacao                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_clicksign\` on table \`public.propostas\` has not been used                                                                                          | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_clicksign                                    |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_data_aprovacao\` on table \`public.propostas\` has not been used                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_data_aprovacao                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_data_assinatura\` on table \`public.propostas\` has not been used                                                                                    | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_data_assinatura                              |
